DESVIO PADRÃO (2007 a 2009)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ARRAIAL DO CABO	8	7	1	52,1	11,9	90,6	75,2	25,8	11,5	23,4	5,3	36,5	7,1	41,7	15,6	2007	2009
CAMBUCI	35	7	4	184,4	32	67,7	60,9	18,1	4,6	9,9	10,7	21,4	126,2	141,3	101,7	2007	2009
CAMPOS DOS GOYTACAZES	13	7	5	141,3	48,1	92,3	75,3	56,5	63,7	22,4	26,7	57,7	272,6	366,6	283,6	2007	2009
DUQUE DE CAXIAS	19	12	3	232,4	121,4	137,1	59,9	32,9	16,8	31,9	52	72,9	40,6	219,4	159,5	2007	2009
MACAÉ	2	7	5	27,6	29,4	46,7	92,8	23	23,9	13,9	12,2	60,7	56,9	127,9	69,9	2007	2009
PARATI	5	7	6	87,6	89,1	101,2	53,7	24,9	32,6	31,7	54,4	37,1	85,6	158,3	91,5	2007	2009
PETRÓPOLIS	809	1	3	226,6	77,4	114,4	46,9	49,5	17,5	35	38,5	38,4	71,2	114,3	151,1	2007	2009
RESENDE	407	8	6	208,9	126,4	54,9	34,7	22,1	17,1	21,3	41,2	50,9	44,6	101	120,4	2007	2009
RIO DE JANEIRO	2	7	3	79,9	160,1	80,3	186,2	115,1	115,9	113,3	121,5	152	86,5	69,2	290,1	2007	2009
SÃO GONÇALO	19	5	3	75,3	51,3	103,1	65,6	41,2	29,8	40,9	45,9	57	54,2	24,3	114,6	2007	2009
SEROPÉDICA	26	4	3	99,8	120,7	95,8	71,4	45,6	29,3	27,3	41,3	60,2	54,4	43	33,2	2007	2009
TERESÓPOLIS	871	11	3	131,4	161,1	165,8	49,9	61,4	38,3	53,3	55,7	79,5	193,7	141,3	110,3	2007	2009
VALENCA	560	11	6	81,1	90,3	78,1	97	8	12,7	10,3	7,3	50,9	46,3	36,4	59,9	2007	2009
