MÉDIAS (1981 a 1990)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ANGRA DOS REIS	6	7	6	139,8	79	127,7	51,4	34,4	24	16,4	23,2	54,7	86,2	119,7	198,2	1982	1990
AREAL	444	1	2	205,6	172,6	165,2	80,1	59,9	38,9	17,9	26,8	74,6	81,5	112,6	241	1982	1990
BARRA DO PIRAÍ	363	1	6	277,9	251,4	229,4	111,1	62,7	38,8	30,6	25,4	83,2	98,2	136,7	248	1982	1990
BARRA MANSA	381	11	6	111,8	125,7	179,8	92,7	61,3	25,2	24,1	25,3	72,5	81	127,9	208,4	1982	1990
BOM JARDIM	560	1	2	222,9	147,1	208,7	86,6	50,1	42,8	19,8	21,7	68,9	89,3	175	221	1981	1990
CACHOEIRAS DE MACACU	57	1	3	245,2	206,5	205,4	170,4	109,6	69,1	58	63,6	92,5	121	148,8	252,4	1981	1990
CAMBUCI	35	7	4	165,5	98,6	160,4	65,4	43,4	28,3	20,7	25,7	53,4	88,6	132,1	217,1	1982	1990
CAMPOS DOS GOYTACAZES	13	7	5	101,7	68,6	77,7	66,3	63,7	39,4	59,7	50,8	68,3	104	118,7	107,3	1981	1990
CARDOSO MOREIRA	22	1	5	161,7	83,8	123	49,5	32,8	28	23,9	27,3	57,2	96	115,6	177,6	1982	1990
CASIMIRO DE ABREU	17	7	1	231,1	150,9	226,3	188,1	99,4	83,2	83,3	68,5	117,8	162,5	211,2	258,1	1981	1990
ITAGUAI	13	7	3	137	40,5	104,9	109,9	144,8	179,4	116,2	135,8	166,3	155,1	145,2	149,7	1989	1990
ITAOCARA	60	7	4	209,1	78,2	169,4	114,2	53	26	34,7	41,2	60,8	109,5	226,3	214,3	1981	1990
ITAPERUNA	108	14	4	159,6	96,7	81,3	87,2	51,3	26,5	34,6	23,7	59,6	101,5	150,6	168,6	1981	1990
ITATIAIA	390	1	6	268,9	212,5	208,9	108,3	63,4	31,8	33	33,9	89,5	112,6	123,2	259,7	1982	1990
MANGARATIBA	18	7	3	198,4	161,6	228,2	212,5	217	153,6	99,6	159,5	107,9	191,3	185,7	113,2	1989	1990
NITEROI	5	6	3	191,6	184,7	168,5	132,2	75,6	71,2	57,2	51,7	83,7	99,4	130,6	220,4	1981	1990
NOVA FRIBURGO	846	3	2	140,6	148,7	149,2	83	30,4	22,5	18,2	16,5	48,6	46	106	193,6	1981	1990
PARAIBA DO SUL	275	1	2	168,5	158,5	156,6	67,7	37,7	30,7	14,3	18,9	63,9	61,8	90,1	216,3	1982	1990
PARATI	5	7	6	211,9	178,2	218,6	171,2	89,7	55,7	56,6	48,7	127,9	137,3	149,5	228	1981	1990
PETRÓPOLIS	809	1	3	268,8	248,4	257,1	151,2	100,9	73,7	67,9	58,4	124	132	198,1	285,5	1982	1990
PORCIÚNCULA	90	2	4	230,2	122,7	177	100,6	44,5	18,4	22,7	24,7	63,4	113,6	153	243,9	1982	1990
QUATIS	415	2	6	380	295,2	285,2	167,8	79,7	37	37	34,9	95,4	130,6	152,3	386,7	1982	1990
QUISSAMA	19	7	5	86,1	78,1	118,4	85,6	46,3	46,2	34,3	29,2	54,6	96,3	114,2	167,2	1981	1990
RIO DAS FLORES	525	10	6	247,1	172,5	196	103,6	48,6	34	18,8	20,8	76,9	76,4	129	208,9	1982	1990
SANTO ANTONIO DE PADUA	86	1	4	166,2	84,5	135,2	69,3	49,1	32,4	17,7	24,6	58,4	85	156,4	215,4	1981	1990
SAO FIDELIS	15	4	5	9,7	46,1	10,4	32,7	31,7	51,1	20,6	0	76,3	72,4	98,9	145,3	1989	1990
SAO FRANCISCO DE ITABAPOANA	8	7	5	113,5	63,7	81,2	63,5	26,8	21,3	25,4	24,7	53,6	80,9	106,7	117,8	1981	1990
SAO PEDRO DA ALDEIA	5	7	1	157,5	107,1	178,8	68,1	30,3	34,1	17	19	71,9	103,3	131,8	220,7	1982	1990
SILVA JARDIM	35	7	1	290,5	246	292,1	193,4	119,8	98,7	71	57,2	107,1	127,1	209,9	303,4	1981	1990
SUMIDOURO	355	11	2	209,2	162,7	199,1	66,4	47	32,1	15,2	16,5	56,9	72,3	141,4	300,7	1982	1990
TRAJANO DE MORAIS	655	1	2	345,6	160,4	353,1	164,5	41,6	33,8	52,6	35	143,1	121,4	195,4	263,3	1981	1990
TRES RIOS	269	7	2	186,4	134,1	159,9	70,1	40,3	28,9	20,4	28,5	70,3	59,9	111,4	183,8	1982	1990
VALENCA	560	11	6	280,4	199,2	211,3	86,4	53,8	35,5	19,4	18,1	87,2	82,6	154,4	223,4	1982	1990
VOLTA REDONDA	390	9	6	267,9	210	208,4	123,5	64,6	33,5	26,7	27,1	85,7	103,4	115,4	257,9	1982	1990
