MÉDIAS (1961 a 1970)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ANGRA DOS REIS	6	7	6	222,1	145,5	75,9	69,2	31,3	25,3	33,4	15,4	42,3	98,5	135,1	161,4	1961	1970
AREAL	444	1	2	254,2	193	96,8	56	29,4	11,4	18,1	21,6	30,6	92,6	140	208,4	1961	1970
BARRA DO PIRAÍ	363	1	6	294,9	274,6	170,8	75,7	32,9	31,9	24,6	35,5	63,6	171,8	208,9	227,3	1961	1970
BARRA MANSA	381	11	6	224,3	206,5	170,5	46,6	33,4	15,1	13	36,2	34,3	99,6	132,5	195,5	1961	1970
BOM JARDIM	560	1	2	321,5	212,5	102,1	79,7	47,8	26	32,5	27,2	41,9	97,7	182,6	219	1961	1970
CACHOEIRAS DE MACACU	57	1	3	270,8	159,6	213	105,6	37,1	58,8	40	64,1	89,2	131,3	165,9	251,3	1967	1970
CAMBUCI	35	7	4	258,7	133,1	87,1	63,3	24,8	18,2	34,9	16	40	113,8	164,4	182,1	1961	1970
CAMPOS DOS GOYTACAZES	13	7	5	44,4	41,7	39,6	33,4	12,2	40,5	42,6	14,1	22,5	64	66	39,5	1966	1970
CARDOSO MOREIRA	22	1	5	217,6	91,7	57,1	46,6	27,5	31,8	32	16,9	32,2	88	120,5	126,1	1961	1970
CASIMIRO DE ABREU	17	7	1	191,5	94,9	94,6	87,8	15,7	101,3	64,1	39,6	60,7	109,3	191,1	229,6	1967	1970
ITALVA	36	4	4	503,7	180,9	19	68,2	29,8	46,1	19,2	19,5	8,4	13,4	79,1	26,2	1961	1961
ITAOCARA	60	7	4	224,8	177,8	173,2	149,9	46	55,2	62,2	35	39	149,4	185,3	189,4	1964	1970
ITAPERUNA	108	14	4	200,3	171,3	84	86,9	24,7	21,5	33,8	13,9	25,9	110,4	158,7	186,3	1961	1970
ITATIAIA	390	1	6	283	246,6	163,1	70	31,8	18,1	18	32,7	39,6	129,8	157,6	225,9	1961	1970
NITEROI	5	6	3	208,1	142,8	150,1	83	33,3	40	31,6	66,7	56,9	103,1	150,4	200,9	1967	1970
NOVA FRIBURGO	846	3	2	372,1	144	178,7	116,8	26,6	32,6	57	55	56,4	120,2	215,6	244,3	1965	1970
PARATI	5	7	6	346,7	297,5	256,9	185,3	75,7	61,8	67,5	60,6	99,1	194,3	213,1	316,8	1962	1970
PETRÓPOLIS	809	1	3	411,2	353,8	194	119,2	114,4	50,9	67,6	68,5	68,1	160,7	156,9	291,7	1961	1965
PORCIÚNCULA	90	2	4	257,3	165,7	103,7	94,1	22,9	15,2	23,7	18,7	40	126,2	147	218,7	1961	1970
QUATIS	415	2	6	425,9	364,2	242,4	109	47,6	31,9	30,3	42,4	63,7	158,7	226,5	324,2	1961	1970
QUISSAMA	19	7	5	169,1	80,1	84,2	89,6	26,9	67,5	58,3	34,9	38,1	96,6	152,7	165,1	1966	1970
RESENDE	407	8	6	337,3	243,2	190,6	93,4	31,2	21,2	17,6	27,8	40,2	145,3	164,1	227,9	1961	1970
RIO DAS FLORES	525	10	6	311,4	248,2	159,7	60,4	27,9	19,1	18,3	20,7	40,5	133	178,5	222,7	1961	1970
SANTO ANTONIO DE PADUA	86	1	4	197,7	125,1	75	50,8	5,2	9,4	14,9	31,2	39,2	98,3	224,1	148,5	1966	1970
SAO FIDELIS	15	4	5	211	127,3	68,7	81,5	35,2	26,8	36	15,1	38,1	76,2	114,7	148,7	1961	1970
SAO PEDRO DA ALDEIA	5	7	1	253,7	151,7	90	58,2	34,9	19,6	28,5	18,7	48,2	114,1	159,9	221,8	1961	1970
SILVA JARDIM	35	7	1	233,7	199,3	280,4	185,4	39,2	70,2	59,5	46,9	53	119,9	172,9	278,7	1967	1970
SUMIDOURO	355	11	2	330,7	180,7	145,2	71,5	31,8	17,6	26,2	23,6	50,4	117,4	187	247	1961	1970
TRAJANO DE MORAIS	655	1	2	179,4	161,2	190,4	98	33,4	74,8	155,6	54,8	81	93,5	147,4	219,7	1965	1970
TRES RIOS	269	7	2	267	178,3	101,7	33,5	21,4	9,5	13,4	16,6	16	120,1	137,3	197,8	1961	1970
VALENCA	560	11	6	263,9	204,6	167,5	60,4	22,1	23,4	15,4	32,2	43,7	122,3	145,7	210,2	1961	1970
VOLTA REDONDA	390	9	6	244,7	207,4	154,3	47,1	32,2	17,2	16,5	28,4	32,5	92,7	144,2	198,7	1961	1970
